Talk_ID,public_url,headline,description,duration,published,tags,views,speaker_1,speaker1_occupation,occupation_categorized,occupation_broader
2436,https://www.ted.com/talks/russ_altman_what_really_happens_when_you_mix_medications,What really happens when you mix medications?,"If you take two different medications for two different reasons, here's a sobering thought: your doctor may not fully understand what happens when they're combined, because drug interactions are incredibly hard to study. In this fascinating and accessible talk, Russ Altman shows how doctors are studying unexpected drug interactions using a surprising resource: search engine queries.",0:14:41,3/2/16,"pharmaceuticals,complexity,big problems,curiosity,Internet,potential,health,medicine,health care,medical research,data,innovation,illness,depression,science,TEDMED",1647151,Russ Altman,Big data techno-­optimist and internist,Engineer,Engineer
320,https://www.ted.com/talks/kwabena_boahen_on_a_computer_that_works_like_the_brain,A computer that works like the brain,"Researcher Kwabena Boahen is looking for ways to mimic the brain's supercomputing powers in silicon -- because the messy, redundant processes inside our heads actually make for a small, light, superfast computer.",0:16:22,7/30/08,"complexity,engineering,visualizations,design,computers,brain,science,technology",604549,Kwabena Boahen,Bioengineer,Engineer,Engineer
408,https://www.ted.com/talks/gregory_petsko_on_the_coming_neurological_epidemic,The coming neurological epidemic,"Biochemist Gregory Petsko makes a convincing argument that, in the next 50 years, we'll see an epidemic of neurological diseases, such as Alzheimer's, as the world population ages. His solution: more research into the brain and its functions.",0:03:47,11/30/08,"aging,public health,health,Alzheimer's,brain,science,business,technology,social change",937127,Gregory Petsko,Bioengineer,Engineer,Engineer
1470,https://www.ted.com/talks/damian_palin_mining_minerals_from_seawater,Mining minerals from seawater,"The world needs clean water, and more and more, we're pulling it from the oceans, desalinating it, and drinking it. But what to do with the salty brine left behind? In this intriguing short talk, TED Fellow Damian Palin proposes an idea: Mine it for other minerals we need, with the help of some collaborative metal-munching bacteria.",0:03:01,6/7/12,"mining,molecular biology,chemistry,biotech,natural resources,bacteria,oceans,water,TED Fellows,biology,innovation,environment,science,sustainability,technology",969943,Damian Palin,Biological miner,Engineer,Engineer
1971,https://www.ted.com/talks/david_sengeh_the_sore_problem_of_prosthetic_limbs,The sore problem of prosthetic limbs,"What drove David Sengeh to create a more comfortable prosthetic limb? He grew up in Sierra Leone, and too many of the people he loves are missing limbs after the brutal civil war there. When he noticed that people who had prosthetics weren't actually wearing them, the TED Fellow set out to discover why ... and to solve the problem with his team from the MIT Media Lab.",0:04:43,4/10/14,"prosthetics,Senses,global issues,TED Fellows,technology",764177,David Sengeh,Biomechatronics engineer,Engineer,Engineer
2368,https://www.ted.com/talks/harald_haas_a_breakthrough_new_kind_of_wireless_internet,Forget Wi-Fi. Meet the new Li-Fi Internet,"What if we could use existing technologies to provide Internet access to the more than 4 billion people living in places where the infrastructure can't support it? Using off-the-shelf LEDs and solar cells, Harald Haas and his team have pioneered a new technology that transmits data using light, and it may just be the key to bridging the digital divide. Take a look at what the future of the Internet could look like.",0:07:24,11/5/15,"web,demo,infrastructure,Internet,solar energy,design,innovation,invention,communication",2167122,Harald Haas,Communications technology innovator,Engineer,Engineer
379,https://www.ted.com/talks/paul_maccready_on_nature_vs_humans,Nature vs. humans,"In 1998, aircraft designer Paul MacCready looks at a planet on which humans have utterly dominated nature, and talks about what we all can do to preserve nature's balance. His contribution: solar planes, superefficient gliders and the electric car.",0:22:48,10/22/08,"demo,transportation,green,flight,solar energy,drones,design,technology",206314,Paul MacCready,Engineer,Engineer,Engineer
1343,https://www.ted.com/talks/bill_doyle_treating_cancer_with_electric_fields,Treating cancer with electric fields,"Surgery, chemotherapy and radiation are the best-known methods for treating cancer. At TEDMED, Bill Doyle presents a new approach, called Tumor Treating Fields, which uses electric fields to interrupt cancer cell division. Still in its infancy -- and approved for only certain types of cancer -- the treatment comes with one big benefit: quality of life.",0:15:35,1/31/12,"medical research,cancer,technology",575502,Bill Doyle,Engineer,Engineer,Engineer
176,https://www.ted.com/talks/paul_maccready_flies_on_solar_wings,A flight on solar wings,"Paul MacCready -- aircraft designer, environmentalist, and lifelong lover of flight -- talks about his long career.",0:21:20,9/26/07,"alternative energy,flight,energy,solar energy,drones,design,invention,business,technology",751718,Paul MacCready,Engineer,Engineer,Engineer
1895,https://www.ted.com/talks/krista_donaldson_the_80_prosthetic_knee_that_s_changing_lives,The $80 prosthetic knee that's changing lives,"We've made incredible advances in technology in recent years, but too often it seems only certain fortunate people can benefit. Engineer Krista Donaldson introduces the ReMotion knee, a prosthetic device for above-knee amputees, many of whom earn less than $4 a day. The design contains best-in-class technology and yet is far cheaper than other prosthetics on the market.",0:09:55,12/19/13,"design,innovation",1001429,Krista Donaldson,Engineer,Engineer,Engineer
1404,https://www.ted.com/talks/ayah_bdeir_building_blocks_that_blink_beep_and_teach,"Building blocks that blink, beep and teach","Imagine a set of electronics as easy to play with as Legos. TED Fellow Ayah Bdeir introduces littleBits, a set of simple, interchangeable blocks that make programming as simple and important a part of creativity as snapping blocks together.",0:05:27,3/29/12,"toy,code,TED Fellows,creativity,technology,education",1201427,Ayah Bdeir,Engineer and artist,Engineer,Engineer
1204,https://www.ted.com/talks/jessica_green_are_we_filtering_the_wrong_microbes,Are we filtering the wrong microbes?,"Should we keep the outdoors out of hospitals? Ecologist and TED Fellow Jessica Green has found that mechanical ventilation does get rid of many types of microbes, but the wrong kinds: the ones left in the hospital are much more likely to be pathogens.",0:05:25,8/4/11,"microbiology,TED Fellows,health,science",568541,Jessica Green,Engineer and biodiversity scientist,Engineer,Engineer
1698,https://www.ted.com/talks/jessica_green_good_germs_make_healthy_buildings,We're covered in germs. Let's design for that.,"Our bodies and homes are covered in microbes -- some good for us, some bad for us. As we learn more about the germs and microbes who share our living spaces, TED Fellow Jessica Green asks: Can we design buildings that encourage happy, healthy microbial environments?",0:08:43,3/25/13,"microbes,ecology,visualizations,climate change,microbiology,biodiversity,architecture,TED Fellows,health,design,biology,data,environment,science,sustainability,collaboration",978639,Jessica Green,Engineer and biodiversity scientist,Engineer,Engineer
322,https://www.ted.com/talks/bruno_bowden_folds_while_rufus_cappadocia_plays,Blindfold origami and cello,"After Robert Lang's talk on origami at TED2008, Bruno Bowden stepped onstage with a challenge -- he would fold one of Lang's astonishingly complicated origami figures, blindfolded, in under 2 minutes. He's accompanied by the cellist Rufus Cappadocia.",0:02:58,8/1/08,"origami,entertainment,cello,music",384129,Bruno Bowden,Engineer and origamist,Engineer,Engineer
